Note,Description,Date,nombre_good,nombre_follow,key
"5,0",Quelle claque... Une intrigue réussie et une mise en scène brillante. On dévore les épisodes. Assurément dans le top 3 des meilleures séries de l'année.,Publiée le 3 octobre 2021,"4


3",Suivre son activité,0
"5,0",franchement je suis très surpris cette série est juste incroyable. bravo au coréens et si une suite est à prévoir j'espère que ce sera tout aussi palpitant ! je recommande,Publiée le 1 octobre 2021,"3


4",Suivre son activité,1
"5,0","Cela faisait tellement longtemps que je n'avais pas vu un chef-d'oeuvre pareil. Cette série est très originale, on ne s'attend à rien, on profite juste de l'instant présent. Ça mérite un grand 5 étoiles.",Publiée le 23 septembre 2021,"6


4",Suivre son activité,2
"2,5","Après avoir vu de nombreuses critiques positives, j'ai regardé cette saison 1 de squid game, et j'ai été vraiment déçu. Ça aurait pu faire un bon film je pense, mais cette série est vraiment très moyenne. Les jeux d'acteurs sont bons, mais les personnages ne sont pas très intéressants(pour la plupart). L'idée de base est bonne, mais tout est rallongé pour en faire une série, et tout est assez prévisible. Certains épisodes sont très réussis par contre, notamment l'épisode 6. Mais pour le reste, c'est assez frustrant. La série semble essayer de te faire réfléchir, sauf qu'elle te prend vraiment pour un con et essaye te faire les réflexions à ta place. Les flash-blacks notamment, sur ce qu'il s'est passé 20 minutes avant ou sur l'épisode d'avant, sont scandaleux. Empêcher le spectateur de faire ses propres réflexions pour comprendre pourquoi un personnage fait ça, c'est vraiment assumer de prendre ses spectateurs pour des idiots, et ça m'énerve beaucoup, surtout sur ce genre d'œuvres.C'est donc assez moyen, mais ça se regarde.",Publiée le 21 septembre 2021,"8


11",Suivre son activité,3
"1,5","j'ai moyennement aimé, car j'ai tout vu venir à des kilomètres, même le vieux. aucune surprise pour moi, du coup série bof à mes yeux, trop prévisible",Publiée le 30 septembre 2021,"9


12",Suivre son activité,4
"0,5","Vide scénaristique inspiré uniquement par du déjà-vu, que ce soit par le scénario à la hunger game, les costumes à la Casa de papel... On met le tout en Corée et on rajoute une île inconnue à la Lost et c'est bon, on a le décor ! Apparemment ça a l'air de marcher alors en même temps pourquoi s'en priver à en faire de la thune ?! Emotion 0 malgré les nombreuses morts et malgré la pauvreté que l'on nous montre, de même pour le ""gore"" pas si gore que ça d'ailleurs. Série vide. Faut dire que les personnages n'aident pas... Seul leur bêtise omniprésente m'a rendu 'un peu' émotif : on en rirait presque. Enfin les ""jeux"" en question sont évidemment nullement recherchés, bien au contraire... fallait probablement que ça touche un maximum de public, que tout le monde puisse comprendre. Moi, ce que je ne comprends pas, c'est plutôt l'engouement présumé de cette série. Probablement et uniquement lié à de la com' à foison, car cette série est simplement le degré 0 de l'émotion que ce soit pitié, peur, curiosité, ou autre. Bref, aucun intérêt.",Publiée le 11 octobre 2021,"7


5",Suivre son activité,5
"4,5","Je suis passée par toutes les émotions et je pense que ça suffit à dire que cette série décalée à la sauce coréenne nous embarque dans son univers , sa morale , son humour et son angoisse ... Bonne idée et des acteurs qui savent nous embarquer ... À voir sans modération",Publiée le 27 septembre 2021,"5


3",Suivre son activité,6
"0,5","Série fade, sans intérêt. Tout es déjà convenu à l'avance. Une série ""américaine"" à la sauce ""sud coréenne"".",Publiée le 11 octobre 2021,"4


2",Suivre son activité,7
"1,0","J'ai du mal à comprendre le succès de cette série. Les épisodes sont plus pénibles les uns que les autres, ces jeux sont intolérables. Comment apprécier autant de sang qui gicle, de violences, de trahisons, ce manque d'humanité ?? Les personnages sont caricaturaux ou sans' interêt. L'histoire se veut provocante et tente de plaquer des retournements de situation qui sonnent faux. Tout est malaisant et malsain. J'ai péniblement regardé les 9 épisodes en espérant que la fin m'aiderait à comprendre leurs succès. Mais en vain. La fin est tout aussi creuse que le reste.",Publiée le 5 octobre 2021,"14


15",Suivre son activité,8
"5,0","Excellente série qui met sur les nerfs dès les 10 première minutes. Très violent et ne pas montrer aux enfants car la violence est physique, psychologique. Tellement prenant qu'on se demande souvent : ""moi je fais quoi ?"" alors qu'on est devant sa TV. Tout est réussi et pourtant sans beaucoup de moyens : décors mystérieux, musique, scenario équilibré, jeu d'acteur à condition d'accepter le jeu asiatique quelquefois un peu surjoué. Ce n'est pas manichéen. C'est très déstabilisant : on s'attache à certains personnages qui disparaissent : la série ne fait aucune concession. A voir absolument si possible en VO sous titrée : ce n'est pas dérangeant : ça va très bien avec les personnages et leur comportement.",Publiée le 3 octobre 2021,"4


4",Suivre son activité,9
"5,0","Juste ""INCROYABLE "" cette série nous tient en haleine du début à la fin. La série gagne en intensité à chaque épisode. La tension lors des jeux est hyper bien retranscrite, on ressent toute la peur des personnage. Visuellement, c'est beau, les décors sont nombreux et variés. Le contraste entre le côté un peu enfantin des décors et leurs utilisations fait qu'on arrive à être stressé et oppressé en meme temps que les personnages. On ne voit absolument pas le temps passer. Les personnages sont bien travaillés, ils nous offrent parfois de beaux moments d'émotions ( moment des billes) . Il y a même une moralité par rapport à nos actions dans la vie ... j'espère juste qu'il y aura une saison 2.",Publiée le 20 septembre 2021,"10


8",Suivre son activité,10
